Score;Max Tile;Avg Move Time;Run Time
27320;2048;0;7,2690964
157132;8192;0;161,6221838
136772;8192;0;89,8226632
123876;8192;0;77,8636571
80552;4096;0;29,9772031
38524;2048;0;9,4790404
80952;4096;0;27,2897923
43028;2048;0;9,3588116
36932;2048;0;8,8985199
85204;4096;0;33,3230609
173340;8192;0;266,7622074
132904;8192;0;113,9224076
88472;4096;0;35,0527101
113068;8192;0;54,2048486
36940;2048;0;8,8519822
177312;8192;0;234,1820603
114116;8192;0;43,4314745
114656;8192;0;46,9754548
18444;1024;0;4,0322111
80080;4096;0;30,4703586
80544;4096;0;30,0862444
174764;8192;0;222,3672882
124332;8192;0;72,5782342
75592;4096;0;25,9400601
79856;4096;0;28,0205201
71376;4096;0;23,2143548
17152;1024;0;4,39571
87840;4096;0;34,3020886
81628;4096;0;27,6506518
80484;4096;0;30,6229166
87460;4096;0;32,6584369
157256;8192;0;176,0961348
78572;4096;0;31,1449669
133380;8192;0;99,0301845
36392;2048;0;7,8809733
35952;2048;0;8,2968865
169552;8192;0;188,303864
76392;4096;0;26,4334865
106444;8192;0;37,242466
149856;8192;0;129,556156
82560;4096;0;29,5999225
80544;4096;0;25,539779
62028;4096;0;18,0227237
132960;8192;0;99,772327
79900;4096;0;28,0489382
50848;4096;0;11,9065255
89500;4096;0;33,4862126
80644;4096;0;31,0333119
85696;4096;0;31,5048383
35196;2048;0;6,7489268
72432;4096;0;22,7318936
60608;4096;0;16,5195992
71572;4096;0;25,2987265
60452;4096;0;18,9261672
117116;8192;0;57,7451017
79712;4096;0;28,3256704
37216;2048;0;8,2685828
37136;2048;0;9,1485015
60472;4096;0;16,1893786
147592;8192;0;141,0005164
70976;4096;0;23,3857923
152184;8192;0;129,262157
40220;2048;0;9,170262
171588;8192;0;175,1619137
170356;8192;0;201,7018224
80712;4096;0;30,734325
15944;1024;0;3,8964699
157148;8192;0;171,9151298
155576;8192;0;153,4665084
290508;16384;0;2447,8757322
80364;4096;0;29,7419879
169020;8192;0;215,0620848
112868;8192;0;60,7299883
86980;4096;0;35,7401903
114364;8192;0;61,6448505
27564;2048;0;6,8842678
11124;512;0;2,5780702
80220;4096;0;31,1766267
78164;4096;0;28,7621875
87600;4096;0;35,6147955
16072;1024;0;4,4329474
78712;4096;0;28,2718313
60936;4096;0;19,8943895
35872;2048;0;9,0632693
41328;2048;0;10,1126354
37668;2048;0;9,7912322
77548;4096;0;31,3381725
67692;4096;0;23,7726503
48396;4096;0;11,569328
89420;4096;0;34,57132
137876;8192;0;101,9871314
135160;8192;0;103,9835308
80312;4096;0;32,6644901
8236;512;0;2,0085775
72172;4096;0;29,5244802
79860;4096;0;30,2235169
72520;4096;0;28,6757888
175636;8192;0;247,9395437
59008;4096;0;17,2351043
83008;4096;0;34,2057732

Average Score: 88995,44
Max Score: 290508
Min Score: 8236
Average Time: 78,541998865
Max Time: 2447,8757322
Min Time: 2,0085775
Total Time: 7854,1998865
Average Move Time: 0
Max Tile: 16384
Runs: 100
Percentage of 2048 Tile: 94%
Percentage of 4096 Tile: 79%
Percentage of 8192 Tile: 31%
Percentage of 16384 Tile: 1%

Depth = 0-5, 10k-6, 50k-8, 100k-9, 120k-10, 150k-11, 170k-12, 210k-13 + pruning 0.005.
