Score;Max Tile;Avg Move Time;Run Time
3036;256;0;2,4686317
520;32;0;0,3201349
568;64;0;0,2867348
748;64;0;0,3255205
1016;128;0;0,4067069
236;16;0;0,1674823
612;64;0;0,2985374
1040;64;0;0,4173302
872;64;0;0,397254
1356;128;0;0,5104848
1476;128;0;0,5278259
804;64;0;0,3603073
648;64;0;0,2961615
1192;128;0;0,4747939
1108;128;0;0,4229302
1136;128;0;0,4381271
868;64;0;0,3401082
2408;256;0;0,7424341
1276;128;0;0,4436108
2368;256;0;0,6928685
776;64;0;0,3148305
1240;128;0;0,4197311
2232;256;0;0,6346257
516;64;0;0,243116
696;64;0;0,308729
1048;128;0;0,3964043
460;64;0;0,2078638
1460;128;0;0,5105054
556;64;0;0,2356073
680;64;0;0,2986278
944;64;0;0,3733222
1284;128;0;0,4515009
1172;128;0;0,3844123
1328;128;0;0,4905924
676;64;0;0,3077766
844;64;0;0,3611513
1520;128;0;0,5317964
1188;128;0;0,4621567
824;64;0;0,3687663
1664;128;0;0,5598194
1236;128;0;0,4504631
1368;128;0;0,4888047
592;64;0;0,2690715
708;64;0;0,3436729
696;64;0;0,4299814
1936;256;0;0,5843491
768;64;0;0,3909729
644;64;0;0,2879526
340;32;0;0,1869713
1356;128;0;0,5198339
1052;128;0;0,472392
1360;128;0;0,5480204
688;64;0;0,3111961
1372;128;0;0,520531
724;64;0;0,3720603
936;64;0;0,3662527
948;64;0;0,4154789
704;64;0;0,3722319
1312;128;0;0,504072
1320;128;0;0,4812415
1144;128;0;0,4526014
968;64;0;0,4531971
1080;128;0;0,4239218
944;64;0;0,3839724
652;64;0;0,2788766
676;64;0;0,3211411
1136;128;0;0,4192982
1424;128;0;0,4956712
816;64;0;0,3826595
1300;128;0;0,4393579
1204;128;0;0,4159756
772;64;0;0,3458898
692;64;0;0,3643084
1312;128;0;0,5182257
968;64;0;0,4064128
2036;256;0;0,7012864
596;64;0;0,3011775
696;64;0;0,2847274
1000;128;0;0,3929643
936;64;0;0,4132959
1432;128;0;0,497178
1268;128;0;0,4343029
736;64;0;0,3157168
844;64;0;0,4266756
692;64;0;0,3489491
1420;128;0;0,5971329
696;64;0;0,3539278
1440;128;0;0,5045911
1256;128;0;0,7599585
784;64;0;0,3501945
928;64;0;0,3769932
696;64;0;0,3050979
2464;256;0;0,730787
1144;128;0;0,4459345
396;32;0;0,2147014
680;64;0;0,2846388
1424;128;0;0,5000883
972;64;0;0,4000847
1376;128;0;0,5348721
1152;128;0;0,4322482

Average Score: 1066,08
Max Score: 3036
Min Score: 236
Average Time: 0,435239049
Max Time: 2,4686317
Min Time: 0,1674823
Total Time: 43,5239049
Average Move Time: 0
Max Tile: 256
Runs: 100
Percentage of 2048 Tile: 0%
