Score;Max Tile;Avg Move Time;Run Time
1284;128;0;1,7180661
1988;256;0;0,5502419
1316;128;0;0,6118252
688;64;0;0,3291543
1260;128;0;0,4815625
528;64;0;0,3068751
976;64;0;0,5469413
1016;128;0;0,4144042
1296;128;0;0,4553856
1224;128;0;0,4597565
1220;128;0;0,4738038
756;64;0;0,3733456
1176;128;0;0,4569178
1332;128;0;0,5019412
1348;128;0;0,5350146
2464;256;0;0,8493735
300;32;0;0,1797569
1228;128;0;0,4453219
912;64;0;0,4060702
716;64;0;0,3638232
672;64;0;0,3200782
372;32;0;0,2370781
996;128;0;0,3538309
1048;128;0;0,4011382
624;64;0;0,3041876
812;64;0;0,3475433
1148;128;0;0,4296673
584;64;0;0,2896073
740;64;0;0,3104432
876;64;0;0,3568205
1180;128;0;0,4335114
1212;128;0;0,5190302
1456;128;0;0,5191408
1244;128;0;0,4738783
600;64;0;0,2681129
832;64;0;0,3494984
812;64;0;0,3342189
592;64;0;0,286454
500;64;0;0,2444404
620;64;0;0,3169519
732;64;0;0,3424983
476;64;0;0,219643
716;64;0;0,3261929
1052;128;0;0,4008588
812;64;0;0,3431169
612;64;0;0,3178327
560;64;0;0,277764
1140;128;0;0,4768445
936;64;0;0,3697362
1068;128;0;0,408853
820;64;0;0,3372334
600;64;0;0,3264743
752;64;0;0,3886085
1432;128;0;0,5434631
1196;128;0;0,4507408
1304;128;0;0,5146476
644;64;0;0,3764366
1360;128;0;0,5546637
1348;128;0;0,5328573
948;64;0;0,3793107
704;64;0;0,3570057
2316;256;0;0,7488157
1140;128;0;0,4831703
1324;128;0;0,5617954
652;64;0;0,3457845
1008;128;0;0,4089076
1396;128;0;0,5366433
1108;128;0;0,4217093
2424;256;0;0,7308606
1924;256;0;0,5540592
424;32;0;0,2885431
1632;128;0;0,5913563
572;64;0;0,3021746
620;64;0;0,3393377
1356;128;0;0,5027482
864;64;0;0,392003
884;64;0;0,3775687
1388;128;0;0,47556
1212;128;0;0,4293896
580;64;0;0,2554827
1068;128;0;0,4047171
1392;128;0;0,5224927
808;64;0;0,3390676
948;64;0;0,3858334
1464;128;0;0,5516298
604;64;0;0,3193838
1656;128;0;0,6716786
1100;128;0;0,4695569
1052;128;0;0,450356
1252;128;0;0,4893038
596;64;0;0,4989151
2408;256;0;0,7443031
1864;128;0;0,6787604
1236;128;0;0,5420798
596;64;0;0,3806494
1044;128;0;0,3704006
696;64;0;0,3279532
1224;128;0;0,4641063
2024;256;0;0,5558342
2332;256;0;0,7138126
1252;128;0;0,4325672
684;64;0;0,3197454
820;64;0;0,3597597
536;64;0;0,2462337
1268;128;0;0,4765943
1328;128;0;0,4418356
1180;128;0;0,4291359
1356;128;0;0,4598675
200;16;0;0,1669457
1748;128;0;0,6128904
972;64;0;0,3912275
916;64;0;0,403039
1296;128;0;0,4873158
1124;128;0;0,4467774
576;64;0;0,2874053
840;64;0;0,3700031
1292;128;0;0,4776342
1440;128;0;0,5305003
1360;128;0;0,5290935
520;64;0;0,2505003
852;128;0;0,3682665
580;64;0;0,2644829
1440;128;0;0,4894592
980;128;0;0,3768566
2796;256;0;0,7895063
628;64;0;0,3143334
1560;128;0;0,6199988
