Score;Max Tile;Avg Move Time;Run Time
1420;128;0;1,8210611
580;64;0;0,3177777
1192;128;0;0,4339407
1292;128;0;0,5350689
1440;128;0;0,6804264
440;64;0;0,236575
1236;128;0;0,4818089
1292;128;0;0,5404043
348;32;0;0,2236872
572;64;0;0,2741504
1320;128;0;0,5556161
988;128;0;0,3488245
1216;128;0;0,4806136
740;64;0;0,35606
1180;128;0;0,4197421
564;64;0;0,2873348
1324;128;0;0,5198807
1460;128;0;0,5621508
572;64;0;0,2828295
956;128;0;0,3777649
636;64;0;0,3091535
1212;128;0;0,4527249
1320;128;0;0,4859465
756;64;0;0,3401072
1600;128;0;0,6085835
1176;128;0;0,4642532
592;64;0;0,2989614
864;64;0;0,384038
1104;128;0;0,3938767
676;64;0;0,352366
548;64;0;0,3006705
424;64;0;0,2062974
1148;128;0;0,4149647
1272;128;0;0,5012187
580;64;0;0,2678679
1276;128;0;0,4623728
736;64;0;0,3154659
1444;128;0;0,5205002
1420;128;0;0,5484801
1544;128;0;0,572409
732;64;0;0,337688
464;32;0;0,2455827
1096;128;0;0,4219552
596;64;0;0,2808876
752;64;0;0,3883268
572;64;0;0,2761144
2572;256;0;0,8426151
1068;64;0;0,5145913
1020;64;0;0,4977595
1028;128;0;0,3832232
696;64;0;0,3194644
1644;128;0;0,6219851
540;64;0;0,241083
1256;128;0;0,4507264
1456;128;0;0,5947499
940;64;0;0,4306473
708;64;0;0,3703735
648;64;0;0,3218243
628;64;0;0,3111886
1440;128;0;0,5699312
1336;128;0;0,5164303
1104;128;0;0,4462665
1324;128;0;0,4923988
996;128;0;0,3868899
460;64;0;0,2332225
408;32;0;0,304305
576;64;0;0,3009007
308;32;0;0,2029728
1016;128;0;0,4166186
500;64;0;0,2427992
620;64;0;0,2861882
1036;128;0;0,392889
1328;128;0;0,501411
1924;256;0;0,6172795
2372;256;0;0,6858708
1036;128;0;0,3900311
1452;128;0;0,516631
900;64;0;0,3444034
372;32;0;0,2242914
720;64;0;0,3337129
1936;256;0;0,5801211
748;64;0;0,3973368
580;64;0;0,2721578
1288;128;0;0,5301084
1412;128;0;0,5432763
628;64;0;0,321944
828;64;0;0,3999197
1304;128;0;0,4549379
2456;256;0;0,8204836
948;64;0;0,4149777
1140;128;0;0,4419404
460;64;0;0,2397069
1004;128;0;0,4373013
1452;128;0;0,5362439
1052;128;0;0,4533339
1004;128;0;0,3998033
740;64;0;0,6101241
1384;128;0;0,5595079
640;64;0;0,3462828
1144;128;0;0,502366

Average Score: 1022,52
Max Score: 2572
Min Score: 308
Average Time: 0,434540796
Max Time: 1,8210611
Min Time: 0,2029728
Total Time: 43,4540796
Average Move Time: 0
Max Tile: 256
Runs: 100
Percentage of 2048 Tile: 0%
